"filename", "language", "JavaScript", "JSON", "Markdown", "JSON with Comments", "Vue", "HTML", "CSS", "comment", "blank", "total"
"d:\Desktop\毕设\final\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"d:\Desktop\毕设\final\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Desktop\毕设\final\jsconfig.json", "JSON with Comments", 0, 0, 0, 5, 0, 0, 0, 6, 0, 11
"d:\Desktop\毕设\final\package-lock.json", "JSON", 0, 28453, 0, 0, 0, 0, 0, 0, 1, 28454
"d:\Desktop\毕设\final\package.json", "JSON", 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"d:\Desktop\毕设\final\public\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 1, 3, 23
"d:\Desktop\毕设\final\public\reset.css", "CSS", 0, 0, 0, 0, 0, 0, 54, 10, 13, 77
"d:\Desktop\毕设\final\public\static\live2dw\hijiki\assets\hijiki.model.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Desktop\毕设\final\public\static\live2dw\hijiki\assets\hijiki.pose.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Desktop\毕设\final\public\static\live2dw\hijiki\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 1, 86
"d:\Desktop\毕设\final\public\static\live2dw\l2dwidget.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Desktop\毕设\final\public\static\live2dw\tororo\assets\tororo.model.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Desktop\毕设\final\public\static\live2dw\tororo\assets\tororo.pose.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Desktop\毕设\final\public\static\live2dw\tororo\package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 1, 44
"d:\Desktop\毕设\final\public\static\live2dw\蕾姆\lem.json", "JSON", 0, 228, 0, 0, 0, 0, 0, 0, 0, 228
"d:\Desktop\毕设\final\public\static\live2dw\蕾姆\remu.physics.json", "JSON", 0, 347, 0, 0, 0, 0, 0, 0, 0, 347
"d:\Desktop\毕设\final\public\static\live2dw\蕾姆\remu.pose.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"d:\Desktop\毕设\final\public\static\live2dw\薇尔莉特\weier.json", "JSON", 0, 111, 0, 0, 0, 0, 0, 0, 0, 111
"d:\Desktop\毕设\final\src\App.vue", "Vue", 0, 0, 0, 0, 94, 0, 0, 0, 20, 114
"d:\Desktop\毕设\final\src\api\index.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 10, 12, 55
"d:\Desktop\毕设\final\src\api\request.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 6, 7, 39
"d:\Desktop\毕设\final\src\components\avatarArea\index.vue", "Vue", 0, 0, 0, 0, 112, 0, 0, 0, 10, 122
"d:\Desktop\毕设\final\src\components\cat\index.vue", "Vue", 0, 0, 0, 0, 403, 0, 0, 0, 90, 493
"d:\Desktop\毕设\final\src\components\footer\index.vue", "Vue", 0, 0, 0, 0, 93, 0, 0, 0, 26, 119
"d:\Desktop\毕设\final\src\components\topNav\index.vue", "Vue", 0, 0, 0, 0, 107, 0, 0, 0, 9, 116
"d:\Desktop\毕设\final\src\components\topOfTalk\index.vue", "Vue", 0, 0, 0, 0, 49, 0, 0, 0, 2, 51
"d:\Desktop\毕设\final\src\main.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 5, 14, 67
"d:\Desktop\毕设\final\src\router\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 8, 37
"d:\Desktop\毕设\final\src\router\routes.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 2, 96
"d:\Desktop\毕设\final\src\store\contest\index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 1, 6, 30
"d:\Desktop\毕设\final\src\store\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Desktop\毕设\final\src\store\user\index.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"d:\Desktop\毕设\final\src\utils\devicePixelRatio.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 9, 0, 44
"d:\Desktop\毕设\final\src\utils\loginBackground.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 22, 12, 115
"d:\Desktop\毕设\final\src\utils\rem.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Desktop\毕设\final\src\utils\token.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Desktop\毕设\final\src\views\HomePage\index.vue", "Vue", 0, 0, 0, 0, 573, 0, 0, 0, 60, 633
"d:\Desktop\毕设\final\src\views\IntorPage\index.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"d:\Desktop\毕设\final\src\views\Login\index.vue", "Vue", 0, 0, 0, 0, 144, 0, 0, 0, 9, 153
"d:\Desktop\毕设\final\src\views\NewLogin\index.vue", "Vue", 0, 0, 0, 0, 441, 0, 0, 1, 59, 501
"d:\Desktop\毕设\final\src\views\SeniorPage\index.vue", "Vue", 0, 0, 0, 0, 65, 0, 0, 0, 2, 67
"d:\Desktop\毕设\final\src\views\amap\index.vue", "Vue", 0, 0, 0, 0, 217, 0, 0, 4, 5, 226
"d:\Desktop\毕设\final\src\views\contestPage\contestItem\index.vue", "Vue", 0, 0, 0, 0, 107, 0, 0, 0, 13, 120
"d:\Desktop\毕设\final\src\views\contestPage\index.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"d:\Desktop\毕设\final\src\views\contestPage\mainArea\index.vue", "Vue", 0, 0, 0, 0, 359, 0, 0, 0, 27, 386
"d:\Desktop\毕设\final\src\views\filePage\index.vue", "Vue", 0, 0, 0, 0, 245, 0, 0, 0, 31, 276
"d:\Desktop\毕设\final\src\views\getNewPage\index.vue", "Vue", 0, 0, 0, 0, 202, 0, 0, 0, 6, 208
"d:\Desktop\毕设\final\src\views\myMessage\index.vue", "Vue", 0, 0, 0, 0, 93, 0, 0, 0, 3, 96
"d:\Desktop\毕设\final\src\views\myMessage\myMes\index.vue", "Vue", 0, 0, 0, 0, 320, 0, 0, 0, 5, 325
"d:\Desktop\毕设\final\src\views\myMessage\myReply\index.vue", "Vue", 0, 0, 0, 0, 161, 0, 0, 0, 21, 182
"d:\Desktop\毕设\final\src\views\myMessage\sysMes\index.vue", "Vue", 0, 0, 0, 0, 84, 0, 0, 0, 13, 97
"d:\Desktop\毕设\final\src\views\registerPage\index.vue", "Vue", 0, 0, 0, 0, 166, 0, 0, 0, 3, 169
"d:\Desktop\毕设\final\src\views\talkPage\index.vue", "Vue", 0, 0, 0, 0, 438, 0, 0, 6, 59, 503
"d:\Desktop\毕设\final\src\views\talkPage\specificItem\index.vue", "Vue", 0, 0, 0, 0, 312, 0, 0, 0, 34, 346
"d:\Desktop\毕设\final\src\views\talkPage\specificItem\talkBox\index.vue", "Vue", 0, 0, 0, 0, 395, 0, 0, 9, 46, 450
"d:\Desktop\毕设\final\src\views\userPage\index.vue", "Vue", 0, 0, 0, 0, 588, 0, 0, 0, 52, 640
"d:\Desktop\毕设\final\src\views\userPage\personSet\index.vue", "Vue", 0, 0, 0, 0, 120, 0, 0, 0, 14, 134
"d:\Desktop\毕设\final\vue.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 22, 5, 30
"Total", "-", 447, 29351, 19, 5, 5947, 19, 54, 118, 735, 36695